Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,1.074074,1.111111,1.074074,0.916395,1.074074,15400
1980-12-15,1.074074,1.111111,1.074074,0.916395,1.074074,14100
1980-12-16,1.074074,1.111111,1.074074,0.916395,1.074074,11400
1980-12-17,1.074074,1.092593,1.037037,0.884796,1.037037,35100
1980-12-18,1.092593,1.148148,1.092593,0.932195,1.092593,24300
1980-12-19,1.092593,1.148148,1.092593,0.932195,1.092593,13500
1980-12-22,1.148148,1.185185,1.148148,0.979595,1.148148,19500
1980-12-23,1.148148,1.203704,1.148148,0.979595,1.148148,8700
1980-12-24,1.148148,1.203704,1.148148,0.979595,1.148148,4000
1980-12-26,1.185185,1.222222,1.185185,1.011195,1.185185,8700
1980-12-29,1.185185,1.222222,1.185185,1.011195,1.185185,20200
1980-12-30,1.185185,1.259259,1.185185,1.011195,1.185185,20200
1980-12-31,1.203704,1.259259,1.203704,1.026996,1.203704,39700
1981-01-02,1.222222,1.259259,1.222222,1.042795,1.222222,10800
1981-01-05,1.259259,1.296296,1.259259,1.074394,1.259259,22200
1981-01-06,1.407407,1.444444,1.407407,1.200795,1.407407,44500
1981-01-07,1.370370,1.370370,1.333333,1.137594,1.333333,91000
1981-01-08,1.296296,1.296296,1.240741,1.058595,1.240741,45900
1981-01-09,1.240741,1.296296,1.222222,1.042795,1.222222,5400
1981-01-12,1.240741,1.296296,1.240741,1.058595,1.240741,9400
1981-01-13,1.259259,1.296296,1.259259,1.074394,1.259259,15400
1981-01-14,1.296296,1.314815,1.296296,1.105994,1.296296,13500
1981-01-15,1.296296,1.370370,1.296296,1.105994,1.296296,12100
1981-01-16,1.296296,1.333333,1.296296,1.105994,1.296296,4000
1981-01-19,1.296296,1.333333,1.296296,1.105994,1.296296,30300
1981-01-20,1.296296,1.333333,1.259259,1.074394,1.259259,11400
1981-01-21,1.259259,1.314815,1.222222,1.042795,1.222222,3300
1981-01-22,1.259259,1.333333,1.259259,1.074394,1.259259,7300
1981-01-23,1.240741,1.240741,1.185185,1.011195,1.185185,45100
1981-01-26,1.166667,1.166667,1.111111,0.947996,1.111111,17500
1981-01-27,1.203704,1.259259,1.203704,1.026996,1.203704,49900
1981-01-28,1.203704,1.240741,1.185185,1.011195,1.185185,3300
1981-01-29,1.185185,1.259259,1.185185,1.011195,1.185185,11400
1981-01-30,1.185185,1.222222,1.185185,1.011195,1.185185,15400
1981-02-02,1.185185,1.185185,1.148148,0.979595,1.148148,3300
1981-02-03,1.148148,1.185185,1.111111,0.947996,1.111111,3300
1981-02-04,1.111111,1.166667,1.074074,0.916395,1.074074,7300
1981-02-05,1.074074,1.111111,1.055556,0.900596,1.055556,65400
1981-02-06,1.055556,1.055556,1.055556,0.900596,1.055556,0
1981-02-09,1.055556,1.111111,1.055556,0.900596,1.055556,35100
1981-02-10,1.074074,1.111111,1.074074,0.916395,1.074074,4000
1981-02-11,1.074074,1.111111,1.055556,0.900596,1.055556,12100
1981-02-12,1.111111,1.148148,1.111111,0.947996,1.111111,56700
1981-02-13,1.148148,1.222222,1.148148,0.979595,1.148148,33700
1981-02-17,1.185185,1.296296,1.185185,1.011195,1.185185,32400
1981-02-18,1.222222,1.259259,1.222222,1.042795,1.222222,45900
1981-02-19,1.222222,1.259259,1.222222,1.042795,1.222222,32400
1981-02-20,1.222222,1.259259,1.222222,1.042795,1.222222,20200
1981-02-23,1.222222,1.259259,1.222222,1.042795,1.222222,14100
1981-02-24,1.222222,1.259259,1.222222,1.042795,1.222222,15400
1981-02-25,1.222222,1.222222,1.185185,1.011195,1.185185,16200
1981-02-26,1.185185,1.240741,1.185185,1.011195,1.185185,31000
1981-02-27,1.185185,1.240741,1.185185,1.011195,1.185185,1900
1981-03-02,1.185185,1.259259,1.185185,1.011195,1.185185,61300
1981-03-03,1.185185,1.259259,1.185185,1.011195,1.185185,13500
1981-03-04,1.203704,1.259259,1.203704,1.026996,1.203704,12100
1981-03-05,1.222222,1.259259,1.222222,1.042795,1.222222,50500
1981-03-06,1.296296,1.333333,1.296296,1.105994,1.296296,56700
1981-03-09,1.370370,1.407407,1.370370,1.169194,1.370370,75600
1981-03-10,1.407407,1.444444,1.407407,1.200795,1.407407,22200
1981-03-11,1.407407,1.444444,1.407407,1.200795,1.407407,24900
1981-03-12,1.407407,1.444444,1.388889,1.184994,1.388889,17500
1981-03-13,1.388889,1.444444,1.370370,1.169194,1.370370,8700
1981-03-16,1.407407,1.462963,1.407407,1.200795,1.407407,19500
1981-03-17,1.407407,1.444444,1.407407,1.200795,1.407407,8100
1981-03-18,1.407407,1.462963,1.407407,1.200795,1.407407,14800
1981-03-19,1.407407,1.462963,1.407407,1.200795,1.407407,6000
1981-03-20,1.425926,1.462963,1.425926,1.216594,1.425926,34300
1981-03-23,1.425926,1.444444,1.425926,1.216594,1.425926,10000
