Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,4.882813,4.953125,4.882813,1.116966,4.921875,4892800
1980-12-15,4.921875,4.992188,4.921875,1.122285,4.945313,2446400
1980-12-16,4.945313,5.125000,4.945313,1.157744,5.101563,4040000
1980-12-17,5.148438,5.289063,5.148438,1.196749,5.273438,3816000
1980-12-18,5.273438,5.359375,5.210938,1.182565,5.210938,5790400
1980-12-19,5.210938,5.210938,5.125000,1.166609,5.140625,7188800
1980-12-22,5.140625,5.164063,5.070313,1.159517,5.109375,3518400
1980-12-23,5.109375,5.132813,5.000000,1.140014,5.023438,4457600
1980-12-24,5.023438,5.031250,5.007813,1.140014,5.023438,1638400
1980-12-26,5.023438,5.054688,4.992188,1.147106,5.054688,1670400
1980-12-29,5.054688,5.054688,5.015625,1.138241,5.015625,1313600
1980-12-30,5.023438,5.070313,5.023438,1.145333,5.046875,1147200
1980-12-31,5.046875,5.101563,5.023438,1.143560,5.039063,1662400
1981-01-02,5.039063,5.078125,5.015625,1.150652,5.070313,1457600
1981-01-05,5.070313,5.109375,5.062500,1.150652,5.070313,3745600
1981-01-06,5.070313,5.125000,4.984375,1.141788,5.031250,3588800
1981-01-07,4.960938,4.960938,4.875000,1.120512,4.937500,6307200
1981-01-08,4.929688,4.929688,4.718750,1.086826,4.789063,7785600
1981-01-09,4.789063,4.835938,4.726563,1.097463,4.835938,4798400
1981-01-12,4.843750,4.929688,4.843750,1.101009,4.851563,8569600
1981-01-13,4.851563,4.953125,4.851563,1.124057,4.953125,3272000
1981-01-14,4.953125,4.984375,4.875000,1.111647,4.898438,3953600
1981-01-15,4.898438,4.992188,4.882813,1.132922,4.992188,3691200
1981-01-16,4.992188,5.023438,4.960938,1.134695,5.000000,5105600
1981-01-19,5.000000,5.007813,4.960938,1.131150,4.984375,2507200
1981-01-20,4.984375,4.992188,4.890625,1.109874,4.890625,3225600
1981-01-21,4.875000,4.875000,4.820313,1.102782,4.859375,2524800
1981-01-22,4.859375,4.859375,4.781250,1.090372,4.804688,2684800
1981-01-23,4.796875,4.796875,4.757813,1.079733,4.757813,2179200
1981-01-26,4.757813,4.781250,4.750000,1.081506,4.765625,2286400
1981-01-27,4.765625,4.851563,4.750000,1.101009,4.851563,3462400
1981-01-28,4.851563,4.859375,4.789063,1.086826,4.789063,3702400
1981-01-29,4.789063,4.859375,4.789063,1.099236,4.843750,5672000
1981-01-30,4.843750,4.906250,4.828125,1.102782,4.859375,8353600
1981-02-02,4.835938,4.835938,4.726563,1.076188,4.742188,8273600
1981-02-03,4.710938,4.710938,4.648438,1.090658,4.710938,5320000
1981-02-04,4.710938,4.734375,4.664063,1.081614,4.671875,4131200
1981-02-05,4.671875,4.703125,4.671875,1.087040,4.695313,3360000
1981-02-06,4.695313,4.726563,4.656250,1.081614,4.671875,6836800
1981-02-09,4.640625,4.640625,4.570313,1.058101,4.570313,4102400
1981-02-10,4.570313,4.585938,4.531250,1.052674,4.546875,10660800
1981-02-11,4.546875,4.554688,4.453125,1.030970,4.453125,5089600
1981-02-12,4.460938,4.500000,4.460938,1.040012,4.492188,2824000
1981-02-13,4.492188,4.492188,4.437500,1.032779,4.460938,3860800
1981-02-17,4.468750,4.570313,4.468750,1.056292,4.562500,4329600
1981-02-18,4.562500,4.578125,4.531250,1.050866,4.539063,3030400
1981-02-19,4.531250,4.531250,4.437500,1.027352,4.437500,3158400
1981-02-20,4.414063,4.414063,4.390625,1.020118,4.406250,3940800
1981-02-23,4.406250,4.445313,4.375000,1.021926,4.414063,3596800
1981-02-24,4.414063,4.445313,4.406250,1.021926,4.414063,3803200
1981-02-25,4.414063,4.476563,4.359375,1.036396,4.476563,3571200
1981-02-26,4.476563,4.492188,4.421875,1.030970,4.453125,4368000
1981-02-27,4.453125,4.500000,4.429688,1.041822,4.500000,3275200
1981-03-02,4.500000,4.562500,4.468750,1.052674,4.546875,4097600
1981-03-03,4.539063,4.539063,4.476563,1.038204,4.484375,2083200
1981-03-04,4.484375,4.492188,4.453125,1.030970,4.453125,2520000
1981-03-05,4.437500,4.437500,4.343750,1.007456,4.351563,2977600
1981-03-06,4.351563,4.367188,4.257813,0.998412,4.312500,6251200
1981-03-09,4.335938,4.390625,4.335938,1.009265,4.359375,3363200
1981-03-10,4.375000,4.421875,4.375000,1.018308,4.398438,6803200
1981-03-11,4.382813,4.382813,4.335938,1.009265,4.359375,2969600
1981-03-12,4.367188,4.492188,4.367188,1.038204,4.484375,4112000
1981-03-13,4.484375,4.492188,4.382813,1.014692,4.382813,6104000
1981-03-16,4.382813,4.445313,4.375000,1.023735,4.421875,2860800
1981-03-17,4.421875,4.445313,4.351563,1.011074,4.367188,6177600
